"(410.0, 102.0, 334.0, 131.0, 632.0, 478.0, 681.0, 417.0)","(410.00000001490116, 102.0, 334.0, 131.0, 632.0, 478.0, 681.0, 417.0)","(410.0, 102.00000001490116, 334.0, 131.0, 632.0, 478.0, 681.0, 417.0)","(410.0, 102.0, 334.00000001490116, 131.0, 632.0, 478.0, 681.0, 417.0)","(410.0, 102.0, 334.0, 131.00000001490116, 632.0, 478.0, 681.0, 417.0)","(410.0, 102.0, 334.0, 131.0, 632.0000000149012, 478.0, 681.0, 417.0)","(410.0, 102.0, 334.0, 131.0, 632.0, 478.00000001490116, 681.0, 417.0)","(410.0, 102.0, 334.0, 131.0, 632.0, 478.0, 681.0000000149012, 417.0)","(410.0, 102.0, 334.0, 131.0, 632.0, 478.0, 681.0, 417.00000001490116)"
-5.814626783943378e-147,-5.814626783943378e-147,-5.814626825114566e-147,-5.814626825114566e-147,-5.814626825114566e-147,-5.81462705209096e-147,-5.81462705209096e-147,-5.81462705209096e-147,-5.81462705209096e-147
"(336.0, 216.0, 393.0, 208.0, 705.0, 415.0, 695.0, 402.0)","(336.00000001490116, 216.0, 393.0, 208.0, 705.0, 415.0, 695.0, 402.0)","(336.0, 216.00000001490116, 393.0, 208.0, 705.0, 415.0, 695.0, 402.0)","(336.0, 216.0, 393.00000001490116, 208.0, 705.0, 415.0, 695.0, 402.0)","(336.0, 216.0, 393.0, 208.00000001490116, 705.0, 415.0, 695.0, 402.0)","(336.0, 216.0, 393.0, 208.0, 705.0000000149012, 415.0, 695.0, 402.0)","(336.0, 216.0, 393.0, 208.0, 705.0, 415.00000001490116, 695.0, 402.0)","(336.0, 216.0, 393.0, 208.0, 705.0, 415.0, 695.0000000149012, 402.0)","(336.0, 216.0, 393.0, 208.0, 705.0, 415.0, 695.0, 402.00000001490116)"
-8.381500344048218e-202,-8.381500344048218e-202,-8.381500344048218e-202,-8.381500344048218e-202,-8.381500344048218e-202,-8.38150040930158e-202,-8.381500585625168e-202,-8.381500585625168e-202,-8.381500642723764e-202
"(309.0, 216.0, 341.0, 128.0, 707.0, 438.0, 604.0, 355.0)","(309.00000001490116, 216.0, 341.0, 128.0, 707.0, 438.0, 604.0, 355.0)","(309.0, 216.00000001490116, 341.0, 128.0, 707.0, 438.0, 604.0, 355.0)","(309.0, 216.0, 341.00000001490116, 128.0, 707.0, 438.0, 604.0, 355.0)","(309.0, 216.0, 341.0, 128.00000001490116, 707.0, 438.0, 604.0, 355.0)","(309.0, 216.0, 341.0, 128.0, 707.0000000149012, 438.0, 604.0, 355.0)","(309.0, 216.0, 341.0, 128.0, 707.0, 438.00000001490116, 604.0, 355.0)","(309.0, 216.0, 341.0, 128.0, 707.0, 438.0, 604.0000000149012, 355.0)","(309.0, 216.0, 341.0, 128.0, 707.0, 438.0, 604.0, 355.00000001490116)"
-1.4463463840999049e-269,-1.4463463840999049e-269,-1.4463463840999049e-269,-1.4463463840999049e-269,-1.4463463864781785e-269,-1.4463463952307304e-269,-1.4463464084302937e-269,-1.4463464720225183e-269,-1.4463464720225183e-269
"(323.0, 183.0, 427.0, 110.0, 702.0, 456.0, 662.0, 411.0)","(323.00000001490116, 183.0, 427.0, 110.0, 702.0, 456.0, 662.0, 411.0)","(323.0, 183.00000001490116, 427.0, 110.0, 702.0, 456.0, 662.0, 411.0)","(323.0, 183.0, 427.00000001490116, 110.0, 702.0, 456.0, 662.0, 411.0)","(323.0, 183.0, 427.0, 110.00000001490116, 702.0, 456.0, 662.0, 411.0)","(323.0, 183.0, 427.0, 110.0, 702.0000000149012, 456.0, 662.0, 411.0)","(323.0, 183.0, 427.0, 110.0, 702.0, 456.00000001490116, 662.0, 411.0)","(323.0, 183.0, 427.0, 110.0, 702.0, 456.0, 662.0000000149012, 411.0)","(323.0, 183.0, 427.0, 110.0, 702.0, 456.0, 662.0, 411.00000001490116)"
-9.34127356194721e-155,-9.34127356194721e-155,-9.34127356194721e-155,-9.34127356194721e-155,-9.341273585626575e-155,-9.341273649552491e-155,-9.341273649552491e-155,-9.341273845872526e-155,-9.341273850768654e-155
"(372.0, 184.0, 414.0, 161.0, 690.0, 446.0, 692.0, 464.0)","(372.00000001490116, 184.0, 414.0, 161.0, 690.0, 446.0, 692.0, 464.0)","(372.0, 184.00000001490116, 414.0, 161.0, 690.0, 446.0, 692.0, 464.0)","(372.0, 184.0, 414.00000001490116, 161.0, 690.0, 446.0, 692.0, 464.0)","(372.0, 184.0, 414.0, 161.00000001490116, 690.0, 446.0, 692.0, 464.0)","(372.0, 184.0, 414.0, 161.0, 690.0000000149012, 446.0, 692.0, 464.0)","(372.0, 184.0, 414.0, 161.0, 690.0, 446.00000001490116, 692.0, 464.0)","(372.0, 184.0, 414.0, 161.0, 690.0, 446.0, 692.0000000149012, 464.0)","(372.0, 184.0, 414.0, 161.0, 690.0, 446.0, 692.0, 464.00000001490116)"
-3.8562536708174345e-122,-3.8562536708174345e-122,-3.8562536708174345e-122,-3.8562536708174345e-122,-3.8562536708174345e-122,-3.8562537314211953e-122,-3.8562537314211953e-122,-3.8562537314211953e-122,-3.8562537314211953e-122
"(433.0, 162.0, 358.0, 249.0, 748.0, 368.0, 687.0, 424.0)","(433.00000001490116, 162.0, 358.0, 249.0, 748.0, 368.0, 687.0, 424.0)","(433.0, 162.00000001490116, 358.0, 249.0, 748.0, 368.0, 687.0, 424.0)","(433.0, 162.0, 358.00000001490116, 249.0, 748.0, 368.0, 687.0, 424.0)","(433.0, 162.0, 358.0, 249.00000001490116, 748.0, 368.0, 687.0, 424.0)","(433.0, 162.0, 358.0, 249.0, 748.0000000149012, 368.0, 687.0, 424.0)","(433.0, 162.0, 358.0, 249.0, 748.0, 368.00000001490116, 687.0, 424.0)","(433.0, 162.0, 358.0, 249.0, 748.0, 368.0, 687.0000000149012, 424.0)","(433.0, 162.0, 358.0, 249.0, 748.0, 368.0, 687.0, 424.00000001490116)"
-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317,-9.526756e-317
"(409.0, 235.0, 396.0, 129.0, 699.0, 385.0, 698.0, 477.0)","(409.00000001490116, 235.0, 396.0, 129.0, 699.0, 385.0, 698.0, 477.0)","(409.0, 235.00000001490116, 396.0, 129.0, 699.0, 385.0, 698.0, 477.0)","(409.0, 235.0, 396.00000001490116, 129.0, 699.0, 385.0, 698.0, 477.0)","(409.0, 235.0, 396.0, 129.00000001490116, 699.0, 385.0, 698.0, 477.0)","(409.0, 235.0, 396.0, 129.0, 699.0000000149012, 385.0, 698.0, 477.0)","(409.0, 235.0, 396.0, 129.0, 699.0, 385.00000001490116, 698.0, 477.0)","(409.0, 235.0, 396.0, 129.0, 699.0, 385.0, 698.0000000149012, 477.0)","(409.0, 235.0, 396.0, 129.0, 699.0, 385.0, 698.0, 477.00000001490116)"
-1.866232090853766e-236,-1.866232090853766e-236,-1.866232090853766e-236,-1.866232090853766e-236,-1.866232090853766e-236,-1.866232111374399e-236,-1.866232173982874e-236,-1.866232173982874e-236,-1.866232173982874e-236
